iter	Passed	Remaining
0	1	164
1	3	156
2	4	151
3	6	153
4	8	153
5	9	152
6	10	145
7	12	144
8	14	143
9	15	138
10	16	137
11	18	135
12	19	131
13	21	131
14	22	129
15	24	128
16	26	127
17	27	127
18	29	126
19	31	126
20	33	126
21	35	125
22	37	124
23	39	123
24	41	123
25	43	122
26	45	121
27	47	121
28	49	120
29	51	119
30	52	117
31	54	116
32	55	113
33	57	112
34	59	111
35	61	110
36	63	108
37	65	107
38	67	105
39	69	103
40	71	102
41	73	101
42	75	99
43	77	98
44	79	96
45	81	95
46	82	93
47	84	91
48	86	90
49	88	88
50	90	87
51	92	85
52	94	83
53	95	81
54	97	79
55	99	78
56	101	76
57	103	74
58	104	72
59	106	71
60	108	69
61	110	67
62	112	65
63	114	64
64	116	62
65	118	60
66	120	59
67	122	57
68	124	56
69	126	54
70	128	52
71	130	50
72	132	49
73	134	47
74	136	45
75	138	43
76	140	41
77	142	40
78	144	38
79	146	36
80	148	34
81	150	32
82	151	31
83	153	29
84	156	27
85	158	25
86	160	23
87	162	22
88	163	20
89	165	18
90	167	16
91	169	14
92	170	12
93	172	11
94	174	9
95	176	7
96	177	5
97	179	3
98	181	1
99	183	0
